date,keyword,source,ratio
2026-07-12,건강 검진,related_top(건강),
2026-07-12,건강 보험,related_top(건강),
2026-07-12,국민 건강 보험 공단,related_top(건강),
2026-07-12,건강 검진 비용,related_top(건강),
2026-07-12,kmi 건강 검진,related_top(건강),
2026-07-12,건강 검진 결과,related_top(건강),
2026-07-12,건강 보험 심사 평가원,related_top(건강),
2026-07-12,국가 건강 검진,related_top(건강),
2026-07-12,건강 검진 예약,related_top(건강),
2026-07-12,질병 관리청,related_top(질병),
2026-07-12,건강검진,naver,18.29375
2026-07-12,다이어트,naver,12.21538
2026-07-12,운동·헬스,naver,18.7726
2026-07-12,영양·건강기능식품,naver,40.38894
2026-07-12,정신건강,naver,10.32933
